step_number,peak_pressure,auc,rise_gradient,descent_gradient,variance,skewness,kurtosis,mean_temperature,max_temperature,temperature_variance
1,22,30,0.0,-14.0,98.0,,,29.0,29,0.0
2,22,22,0.0,0.0,,,,28.0,28,
3,22,22,0.0,0.0,,,,28.0,28,
4,22,22,0.0,0.0,,,,28.0,28,
5,102,1926,17.8,-4.2727272727272725,422.0,-1.8574975144023513,4.67429622667263,26.77777777777778,27,0.4102564102564103
6,22,22,0.0,0.0,,,,25.0,25,
7,22,22,0.0,0.0,,,,23.0,23,
8,22,22,0.0,0.0,,,,24.0,24,
9,29,29,0.0,0.0,,,,24.0,24,
10,8,8,0.0,0.0,,,,23.0,23,
11,7,7,0.0,0.0,,,,21.0,21,
12,14,21,3.5,0.0,24.5,,,21.0,21,0.0
13,34,34,0.0,0.0,,,,21.0,21,
14,6,6,0.0,0.0,,,,21.0,21,
15,19,19,0.0,0.0,,,,21.0,21,
16,6,6,0.0,0.0,,,,21.0,21,
17,13,13,0.0,0.0,,,,21.0,21,
18,6,6,0.0,0.0,,,,21.0,21,
19,6,6,0.0,0.0,,,,21.0,21,
20,22,22,0.0,0.0,,,,23.0,23,
21,240,626,62.0,-124.0,7553.0,-0.3559662821098303,-3.3203891143304034,26.0,27,0.6666666666666666
22,8,8,0.0,0.0,,,,24.0,24,
23,22,22,0.0,0.0,,,,23.0,23,
24,16,16,0.0,0.0,,,,28.0,28,
25,38,44,16.0,0.0,512.0,,,28.0,28,0.0
26,22,22,0.0,0.0,,,,28.0,28,
27,8,8,0.0,0.0,,,,28.0,28,
28,13,13,0.0,0.0,,,,28.0,28,
29,30,30,0.0,0.0,,,,28.0,28,
30,30,39,10.5,0.0,220.5,,,28.0,28,0.0
31,31,55,3.5,0.0,24.5,,,28.0,28,0.0
32,37,53,0.0,-21.0,220.5,,,28.0,28,0.0
33,31,31,0.0,0.0,,,,28.0,28,
34,57,105,0.0,-25.5,687.0,-1.1160820590189824,,28.666666666666668,29,0.33333333333333337
35,144,239,57.0,-79.0,3410.3333333333335,1.0588873465065411,,29.0,29,0.0
36,93,310,17.333333333333332,-2.0,603.6666666666666,-1.8887711083558507,3.5958680631675684,29.0,29,0.0
37,57,101,20.5,-29.0,444.33333333333337,1.1222981281439572,,29.0,29,0.0
38,26,34,0.0,-18.0,162.0,,,29.0,29,0.0
39,12,20,2.0,0.0,8.0,,,29.5,30,0.5
40,56,122,19.0,-8.0,401.33333333333337,-1.4265280856693234,,29.666666666666668,30,0.33333333333333337
41,36,175,9.666666666666666,-4.142857142857143,96.27777777777777,0.6968780072113875,-0.5356182124711562,30.0,30,0.0
42,7,7,0.0,0.0,,,,30.0,30,
43,50,638,7.0,-2.75,210.38095238095238,-0.311353077512916,-1.4981995684597111,30.0,30,0.0
44,107,244,21.0,-37.0,1516.7,0.9925284307459408,-0.5501373297683134,30.0,30,0.0
45,28,35,0.0,-21.0,220.5,,,30.0,30,0.0
46,54,70,19.0,0.0,722.0,,,30.0,30,0.0
47,30,52,0.0,-8.0,32.0,,,30.0,30,0.0
48,71,108,17.0,0.0,578.0,,,30.0,30,0.0
49,67,127,22.0,-30.0,505.3333333333333,1.0075382107890494,,30.0,30,0.0
50,85,176,31.5,-16.0,1072.3333333333335,-1.2786023862657634,,30.0,30,0.0
51,63,108,9.0,0.0,162.0,,,30.0,30,0.0
52,62,116,0.0,-8.0,32.0,,,30.0,30,0.0
53,36,36,0.0,0.0,,,,30.0,30,
54,93,108,39.0,0.0,3042.0,,,30.0,30,0.0
55,106,160,26.0,0.0,1352.0,,,30.0,30,0.0
56,32,55,0.0,-9.0,40.5,,,30.0,30,0.0
57,45,79,19.5,-17.0,382.33333333333337,-0.38077933511118645,,30.0,30,0.0
58,10,10,0.0,0.0,,,,31.0,31,
59,6,6,0.0,0.0,,,,31.0,31,
60,9,9,0.0,0.0,,,,31.0,31,
61,9,31,0.75,0.0,1.5833333333333333,-1.1293381149712478,2.2271468144044313,31.0,31,0.0
62,12,12,0.0,0.0,,,,31.0,31,
63,8,116,1.0,-0.14285714285714285,0.4666666666666667,-0.35849390434844075,-0.5920610002242657,30.875,31,0.11666666666666667
64,95,268,2.6666666666666665,0.0,24.333333333333332,1.6523167403329984,,31.0,31,0.0
65,25,25,0.0,0.0,,,,27.0,27,
66,16,16,0.0,0.0,,,,27.0,27,
67,100,220,26.0,0.0,1977.3333333333333,-1.7281098503730383,,28.0,28,0.0
68,162,422,35.75,-86.0,2672.2999999999997,0.5585247846502605,1.5600861940143869,28.0,28,0.0
69,71,121,10.5,0.0,220.5,,,28.0,28,0.0
70,44,55,16.5,0.0,544.5,,,28.0,28,0.0
71,45,54,18.0,0.0,648.0,,,28.0,28,0.0
72,8,8,0.0,0.0,,,,28.0,28,
73,56,283,15.0,-6.714285714285714,268.52777777777777,0.38287116630573154,-1.03018417360527,28.666666666666668,29,0.25
74,125,197,51.5,-75.0,2836.3333333333335,1.2092107574295081,,28.666666666666668,29,0.33333333333333337
75,179,255,76.5,-129.0,6771.0,1.5677658590816879,,28.0,28,0.0
76,58,93,11.5,0.0,264.5,,,28.0,28,0.0
77,110,203,8.5,0.0,144.5,,,28.0,28,0.0
78,69,98,0.0,-40.0,800.0,,,28.0,28,0.0
79,87,134,31.0,-65.0,1346.3333333333335,1.719034121747238,,28.333333333333332,29,0.33333333333333337
80,80,124,18.0,0.0,648.0,,,28.5,29,0.5
81,10,10,0.0,0.0,,,,29.0,29,
82,143,193,52.0,-132.0,4837.333333333333,1.4216258277627645,,29.0,29,0.0
83,186,264,75.0,-144.0,7212.0,1.7223292917031294,,29.0,29,0.0
84,98,159,39.0,-57.0,1629.0,1.2196594554442455,,29.0,29,0.0
85,97,140,38.0,-75.0,1900.3333333333335,1.7310254872679571,,29.0,29,0.0
86,132,240,56.5,-43.0,3253.0,-0.6924080476993066,,29.0,29,0.0
87,118,179,50.5,-74.0,2734.3333333333335,1.2272059171950809,,29.0,29,0.0
88,7,7,0.0,0.0,,,,29.0,29,
89,32,32,0.0,0.0,,,,29.0,29,
90,45,100,14.5,-6.0,234.33333333333331,-1.437533431601465,,29.0,29,0.0
91,29,40,0.0,-18.0,162.0,,,29.0,29,0.0
92,60,480,14.5,-4.333333333333333,208.21978021978023,-0.5433912010078035,-0.017864858522412153,29.0,29,0.0
93,136,2712,21.6,-3.76,1206.8689655172411,-0.4711914277129737,-0.5715054163455222,29.433333333333334,30,0.25402298850574706
94,66,101,15.5,0.0,480.5,,,30.0,30,0.0
95,54,81,0.0,-27.0,364.5,,,29.5,30,0.5
96,63,117,17.0,-38.0,436.0,1.660818054190804,,29.666666666666668,30,0.33333333333333337
97,45,101,6.5,-21.0,112.33333333333333,0.6901328492919064,,29.0,29,0.0
98,62,106,9.0,0.0,162.0,,,29.0,29,0.0
99,109,244,33.5,-16.0,1224.3333333333333,-1.333605516236882,,29.0,29,0.0
100,92,156,40.5,-39.0,1641.0,-0.11101802327091671,,29.0,29,0.0
101,133,258,39.666666666666664,-99.0,2776.3333333333335,0.7574669794408998,-0.7813258620259944,29.75,30,0.25
102,19,19,0.0,0.0,,,,29.0,29,
103,14,14,0.0,0.0,,,,30.0,30,
104,130,730,15.125,-57.0,1285.8611111111113,-1.0468239211156398,1.1640887940999356,30.0,30,0.0
105,103,281,24.666666666666668,-26.0,940.9166666666666,-0.8026724740880513,1.7403330470263008,30.0,30,0.0
106,64,606,1.8333333333333333,-27.5,201.06315789473686,1.027506575832193,1.3557250041738031,30.0,30,0.0
107,126,305,34.0,-5.0,1436.3333333333335,-1.6981968849320852,,30.0,30,0.0
108,81,169,18.5,-37.0,456.33333333333337,1.7320508075688763,,30.0,30,0.0
109,102,154,36.5,-79.0,1934.3333333333333,1.6958564682447497,,30.0,30,0.0
110,28,39,0.0,-17.0,144.5,,,30.0,30,0.0
111,42,42,0.0,0.0,,,,30.0,30,
112,11,11,0.0,0.0,,,,29.0,29,
113,28,28,0.0,0.0,,,,25.0,25,
114,70,89,25.5,0.0,1300.5,,,26.0,26,0.0
115,42,57,0.0,-27.0,364.5,,,26.0,26,0.0
116,80,227,12.0,-21.0,290.25,1.1370784573166581,0.15407727900967494,26.0,26,0.0
117,144,265,11.5,0.0,264.5,,,26.0,26,0.0
118,86,138,39.0,-42.0,1524.0,0.22993688673998364,,26.0,26,0.0
119,162,217,63.5,-142.0,6086.333333333334,1.6602944029432958,,26.333333333333332,27,0.33333333333333337
120,79,135,11.5,0.0,264.5,,,26.5,27,0.5
121,68,102,0.0,-34.0,578.0,,,27.0,27,0.0
122,50,64,18.0,0.0,648.0,,,27.0,27,0.0
123,104,144,44.0,-80.0,2368.0,1.6795356000385153,,27.333333333333332,28,0.33333333333333337
124,166,249,74.0,-101.0,5719.0,1.0104069459555807,,27.0,27,0.0
125,104,126,41.0,0.0,3362.0,,,27.0,27,0.0
126,67,84,25.0,0.0,1250.0,,,27.0,27,0.0
127,84,157,5.5,0.0,60.5,,,27.5,28,0.5
128,160,269,25.5,0.0,1300.5,,,27.5,28,0.5
129,72,120,32.0,-32.0,1024.0,0.0,,27.0,27,0.0
130,10,10,0.0,0.0,,,,27.0,27,
131,215,2490,21.77777777777778,-24.142857142857142,3775.05,-1.2193863957799909,0.39034689287836954,27.9375,28,0.0625
132,6,6,0.0,0.0,,,,28.0,28,
133,143,387,56.0,-2.5,3530.3,0.6712109253232859,-1.9228159284489976,28.0,28,0.0
134,109,184,0.0,-34.0,578.0,,,28.5,29,0.5
135,178,243,80.5,-130.0,7297.0,1.4789777570850304,,28.0,28,0.0
136,138,190,43.0,0.0,3698.0,,,28.0,28,0.0
137,115,180,0.0,-50.0,1250.0,,,28.0,28,0.0
138,124,192,55.0,-70.0,3100.0,0.7821521217295037,,28.0,28,0.0
139,155,295,30.0,-110.0,3033.333333333333,0.27135476189985946,,28.0,28,0.0
140,36,73,8.0,-19.0,104.33333333333334,1.5654824484776428,,28.0,28,0.0
141,112,523,22.0,-9.181818181818182,1187.5523809523809,1.3355512465123776,0.5141706354492683,28.0,28,0.0
142,47,148,9.0,-18.5,213.3,-0.3552257032417782,-1.100917007733936,28.0,28,0.0
143,10,54,0.5,0.0,0.8,0.0,-1.875,28.0,28,0.0
144,116,233,51.0,-13.0,3082.3333333333335,-1.625826302036956,,28.666666666666668,29,0.33333333333333337
145,200,295,88.0,-129.0,8304.333333333332,1.2283161002869467,,29.0,29,0.0
146,258,333,91.5,0.0,16744.5,,,28.5,29,0.5
147,81,144,0.0,-18.0,162.0,,,28.0,28,0.0
148,212,309,88.0,-151.0,9067.0,1.5987025998431597,,28.0,28,0.0
149,155,205,52.5,0.0,5512.5,,,28.5,29,0.5
150,215,296,67.0,0.0,8978.0,,,28.0,28,0.0
151,35,43,0.0,-27.0,364.5,,,28.0,28,0.0
152,133,1843,4.56,-44.0,971.1994301994301,0.7175802420248799,-0.4018950946203428,28.0,28,0.0
153,32,40,0.0,-24.0,288.0,,,28.0,28,0.0
154,12,12,0.0,0.0,,,,28.0,28,
155,7,7,0.0,0.0,,,,25.0,25,
