step_number,peak_pressure,auc,rise_gradient,descent_gradient,variance,skewness,kurtosis,mean_temperature,max_temperature,temperature_variance
108,51,57,0.0,-45.0,1012.5,,,27.0,27,0.0
109,56,56,0.0,0.0,,,,27.0,27,
110,97,111,41.5,0.0,3444.5,,,27.0,27,0.0
111,13,13,0.0,0.0,,,,27.0,27,
112,6,6,0.0,0.0,,,,28.0,28,
113,8,8,0.0,0.0,,,,28.0,28,
114,10,10,0.0,0.0,,,,28.0,28,
115,8,8,0.0,0.0,,,,28.0,28,
116,6,6,0.0,0.0,,,,29.0,29,
117,6,6,0.0,0.0,,,,29.0,29,
118,106,383,16.5,-48.0,825.8,-0.166517797895414,-2.08883482267003,26.2,27,1.7000000000000004
119,212,715,40.8,-120.0,5733.766666666667,-0.15320911371544998,-0.7010855461382572,30.5,31,0.3
120,198,407,56.5,-74.0,3294.3333333333335,0.8769012264305138,,31.0,31,0.0
121,203,1953,16.2,-16.666666666666668,1751.8589743589744,-1.3752164782217373,3.2174285729924565,25.692307692307693,26,0.3974358974358975
122,23,50,0.0,-7.5,60.33333333333333,-1.2298092586842284,,25.0,25,0.0
123,62,124,7.333333333333333,0.0,401.33333333333337,0.2981745522010503,,28.0,28,0.0
124,8,8,0.0,0.0,,,,29.0,29,
125,17,23,5.5,0.0,60.5,,,28.0,28,0.0
126,56,64,0.0,-48.0,1152.0,,,30.0,30,0.0
127,50,70,15.0,0.0,450.0,,,29.0,29,0.0
128,60,86,17.0,0.0,578.0,,,29.0,29,0.0
129,107,107,0.0,0.0,,,,29.0,29,
130,143,143,0.0,0.0,,,,29.0,29,
131,94,172,0.0,-16.0,128.0,,,29.5,30,0.5
132,118,118,0.0,0.0,,,,29.0,29,
133,105,105,0.0,0.0,,,,30.0,30,
134,115,115,0.0,0.0,,,,30.0,30,
135,112,119,52.5,0.0,5512.5,,,30.0,30,0.0
136,203,203,0.0,0.0,,,,31.0,31,
137,97,109,42.5,0.0,3612.5,,,30.5,31,0.5
138,127,127,0.0,0.0,,,,31.0,31,
139,127,127,0.0,0.0,,,,31.0,31,
140,152,152,0.0,0.0,,,,31.0,31,
141,47,47,0.0,0.0,,,,31.0,31,
142,135,164,53.0,0.0,5618.0,,,30.5,31,0.5
143,45,58,0.0,-32.0,512.0,,,31.0,31,0.0
144,79,79,0.0,0.0,,,,31.0,31,
145,106,129,0.0,-83.0,3444.5,,,30.5,31,0.5
146,71,71,0.0,0.0,,,,31.0,31,
147,161,1075,41.666666666666664,-23.333333333333332,2921.027777777778,-1.3067147772705634,0.2004463617822836,25.333333333333332,26,0.49999999999999994
148,69,436,6.5,-2.6666666666666665,79.90476190476191,-2.1505442323675505,4.965756668717088,22.857142857142858,23,0.1428571428571428
149,66,397,18.333333333333332,-9.666666666666666,491.3611111111111,-0.7966381068198312,-0.663774944951764,21.0,21,0.0
150,42,188,13.0,-3.7142857142857144,67.6111111111111,2.5981069773046244,7.182863612999821,21.0,21,0.0
151,25,35,7.5,0.0,112.5,,,21.0,21,0.0
152,21,21,0.0,0.0,,,,21.0,21,
153,20,20,0.0,0.0,,,,21.0,21,
154,11,11,0.0,0.0,,,,21.0,21,
155,37,37,0.0,0.0,,,,22.0,22,
156,50,50,0.0,0.0,,,,22.0,22,
157,41,41,0.0,0.0,,,,22.0,22,
158,8,8,0.0,0.0,,,,21.0,21,
159,12,12,0.0,0.0,,,,22.0,22,
160,21,21,0.0,0.0,,,,23.0,23,
161,39,48,0.0,-30.0,450.0,,,23.0,23,0.0
162,30,30,0.0,0.0,,,,24.0,24,
163,82,110,27.0,0.0,1458.0,,,23.5,24,0.5
164,100,100,0.0,0.0,,,,24.0,24,
165,54,54,0.0,0.0,,,,24.0,24,
166,65,65,0.0,0.0,,,,24.0,24,
167,27,27,0.0,0.0,,,,24.0,24,
168,24,46,1.0,0.0,2.0,,,24.0,24,0.0
169,16,26,0.0,-6.0,18.0,,,23.5,24,0.5
170,11,17,2.5,0.0,12.5,,,24.0,24,0.0
171,24,24,0.0,0.0,,,,24.0,24,
172,10,10,0.0,0.0,,,,24.0,24,
173,71,71,0.0,0.0,,,,24.0,24,
174,52,251,9.333333333333334,-5.333333333333333,103.36666666666667,-1.2950207321412681,1.2382010317796004,23.833333333333332,24,0.1666666666666666
175,37,70,2.0,0.0,8.0,,,20.0,20,0.0
176,95,107,41.5,0.0,3444.5,,,20.0,20,0.0
177,30,30,0.0,0.0,,,,20.0,20,
178,28,28,0.0,0.0,,,,20.0,20,
179,33,41,12.5,0.0,312.5,,,20.0,20,0.0
180,41,66,8.0,0.0,128.0,,,20.0,20,0.0
181,47,60,0.0,-34.0,578.0,,,20.0,20,0.0
182,62,62,0.0,0.0,,,,20.0,20,
183,69,69,0.0,0.0,,,,20.0,20,
184,70,93,0.0,-47.0,1104.5,,,20.0,20,0.0
185,65,65,0.0,0.0,,,,20.0,20,
186,55,71,19.5,0.0,760.5,,,20.5,21,0.5
187,21,21,0.0,0.0,,,,20.0,20,
188,85,85,0.0,0.0,,,,21.0,21,
189,61,84,0.0,-38.0,722.0,,,21.5,22,0.5
190,30,55,0.0,-5.0,12.5,,,21.5,22,0.5
191,41,76,3.0,0.0,18.0,,,21.5,22,0.5
192,35,49,0.0,-21.0,220.5,,,22.0,22,0.0
193,27,35,0.0,-19.0,180.5,,,22.0,22,0.0
194,34,34,0.0,0.0,,,,21.0,21,
195,14,14,0.0,0.0,,,,22.0,22,
196,8,8,0.0,0.0,,,,21.0,21,
197,29,29,0.0,0.0,,,,22.0,22,
198,38,38,0.0,0.0,,,,22.0,22,
199,49,49,0.0,0.0,,,,23.0,23,
200,14,14,0.0,0.0,,,,22.0,22,
201,25,48,0.0,-2.0,2.0,,,22.0,22,0.0
202,24,38,5.0,0.0,50.0,,,22.5,23,0.5
203,30,66,7.0,-10.0,52.0,1.1520696383139377,,21.0,21,0.0
204,8,8,0.0,0.0,,,,21.0,21,
205,25,48,0.0,-2.0,2.0,,,21.0,21,0.0
206,14,27,0.5,0.0,0.5,,,21.0,21,0.0
207,44,44,0.0,0.0,,,,21.0,21,
208,77,77,0.0,0.0,,,,22.0,22,
209,65,65,0.0,0.0,,,,23.0,23,
210,53,53,0.0,0.0,,,,23.0,23,
211,67,67,0.0,0.0,,,,23.0,23,
