metric,mean,std,min,max
peak_pressure,2629.6,4196.534796710257,32.0,9893.0
auc,99455.3,57858.889673065794,41229.0,196854.0
rise_gradient,1.736509459422954,1.7407063460835492,0.1,4.035641130684146
descent_gradient,-15.51407569956387,33.38444176422734,-75.21374045801527,-0.0007097232079489
variance,68926.24283033345,151004.69965825957,0.2092589731628821,339039.2098862515
skewness,13.419152484423316,12.075667826531838,1.004653967922449,30.284976901626923
kurtosis,341.4331949288681,460.32221555464986,-0.8033408303990379,1123.8490625354973
