,step_number,peak_pressure,auc,rise_gradient,descent_gradient,variance,skewness,kurtosis
0,1.0,34.4,99.6,0.8666666666666666,-1.6,15.458333333333334,-0.1112531838446979,-0.4085846513756799
1,2.0,64.6,1265.8,4.325,-1.6226190476190474,217.86484409310495,-0.3056729226913303,-0.5063755942780127
2,3.0,75.6,155.8,14.466666666666669,0.0,1328.9166666666665,-0.767909565902245,0.0
3,4.0,71.8,277.2,9.85,-17.68888888888889,740.7386363636364,0.43386430901819534,0.41319273579785537
4,5.0,55.0,167.2,2.2,-7.566666666666667,221.37053571428572,-0.25912133102227003,-0.876147638049936
5,6.0,54.2,76.8,3.3,0.0,272.25,0.0,0.0
6,7.0,66.0,111.8,3.7,0.0,216.16666666666666,0.0,0.0
7,8.0,41.0,50.6,0.0,0.0,0.0,0.0,0.0
8,9.0,80.6,259.6,3.5714285714285716,-15.442857142857141,466.15972222222223,0.26257840235392643,-0.17259055491854478
9,10.0,71.0,147.4,12.1,-24.2,826.5833333333333,0.37809042202491977,-2.5467032967032965
10,11.0,132.8,800.4,31.05,-32.519999999999996,4643.297619047619,0.4947318110040075,-0.28962990333706706
11,12.0,77.8,379.2,4.833333333333333,-26.173333333333336,928.8287581699348,0.0572014088715451,-0.7976589309708841
12,13.0,108.8,473.2,7.4,-12.333333333333332,1480.5,-0.9890718617285656,-0.4935378817123013
13,14.0,84.4,161.6,6.9,-29.7,1008.0333333333332,-0.2833311807429428,
14,15.0,78.6,159.8,13.206666666666667,-17.1,609.125,1.1794564224328796,4.347701348938703
15,16.0,84.2,124.6,3.6,-36.6,1671.3,,
16,17.0,68.0,117.4,9.4,-1.4,978.625,0.0,0.0
17,18.0,121.0,160.8,13.7,-49.2,2969.958333333333,0.7108129138813822,
18,19.0,93.6,161.2,16.5,-30.2,1467.0,1.7223292917031294,
19,20.0,80.4,105.6,7.8,-21.6,976.5,1.2196594554442457,
20,21.0,98.2,136.0,17.5,-30.8,2480.3333333333335,1.7310254872679571,
21,22.0,92.4,147.4,27.0,-8.6,2010.375,-0.6924080476993066,
22,23.0,69.4,116.4,12.6,-18.0,793.7083333333333,1.2272059171950809,
23,24.0,86.4,121.8,8.7,-32.2,1891.4444444444443,0.8391375130059999,0.0
24,25.0,95.8,186.4,17.1,-11.0,1998.875,-0.8660254037844387,0.0
25,26.0,77.6,120.6,9.1,-24.2,1442.2083333333333,-1.437533431601465,
26,27.0,61.2,113.2,2.4,-10.4,186.6,0.0,0.0
