,step_number,peak_pressure,auc,rise_gradient,descent_gradient,variance,skewness,kurtosis
0,1.0,94.8,10264.2,1.775,-1.0302478134110786,112.35798089666686,3.5161773133834227,55.57474663546313
1,2.0,80.4,141.2,16.633333333333333,-58.333333333333336,2612.291666666667,1.3065638951010843,2.691724731694628
2,3.0,76.2,139.8,7.8,0.0,1014.0,0.0,0.0
3,4.0,67.8,162.8,8.1,-7.4,991.25,0.0,0.0
4,5.0,64.2,140.4,0.0,-23.0,1410.6666666666667,0.0,0.0
5,6.0,62.6,267.4,10.9,0.0,1980.1666666666667,0.0,0.0
6,7.0,88.8,330.4,4.833333333333334,-2.416666666666667,1027.0196078431375,0.396488093040772,-0.47519977170144
7,8.0,78.0,463.6,4.5600000000000005,-6.5625,343.4680134680134,2.8044814517452306,8.074412932165988
8,9.0,59.6,100.0,10.0,0.0,1666.6666666666667,0.0,0.0
9,10.0,65.6,325.0,0.07142857142857142,-27.26666666666667,2278.533088235294,0.7735290275784096,1.434081185432541
10,11.0,81.2,138.6,20.2,-13.875,2439.777777777778,0.1658933938827915,-2.0565666391294926
11,12.0,61.0,172.2,2.6,0.0,44.5,0.0,0.0
12,13.0,100.4,173.8,24.6,-32.6,4160.583333333334,0.2846375511557431,0.0
13,14.0,126.2,681.6,17.71945701357466,-13.429166666666667,5170.1281074929975,2.203292121808394,4.424754096620893
14,15.0,51.2,416.8,0.6,-0.4,5.0,0.0,0.0
15,16.0,83.8,183.0,13.0,-13.4,2673.625,0.0,0.0
16,17.0,86.6,136.0,12.6,-46.75,2405.6666666666665,0.8643293471564258,0.0
17,18.0,87.4,189.6,11.4,-4.916666666666667,2993.655555555556,0.7264025570689092,-1.4442032382502423
18,19.0,86.0,220.0,19.2,-4.242424242424243,2526.801282051282,1.4188431622911843,0.6467757611194842
19,20.0,85.2,275.2,3.5333333333333337,-30.65,2134.7575757575755,0.5808538666702906,0.36272661112603277
20,21.0,72.0,97.0,6.9,-17.4,703.0,0.7187667158007316,
21,22.0,46.6,97.6,3.4,0.0,192.66666666666666,0.0,0.0
22,23.0,47.4,136.2,1.6,-0.6,22.458333333333332,-0.5773502691896261,0.0
23,24.0,41.6,108.4,0.5,-4.0,35.125,0.0,0.0
24,25.0,44.2,102.2,1.8,-3.8,85.625,0.0,0.0
25,26.0,51.4,135.6,5.0,-2.25,182.20833333333334,0.3519439646547681,0.0
26,27.0,49.8,341.8,3.8,-1.0625,75.87581699346406,-0.5634993049368574,1.109787255894778
27,28.0,41.2,100.8,0.7,-1.0,4.333333333333333,0.3840232127713125,0.0
28,29.0,79.4,110.8,13.2,0.0,3236.0,,
29,30.0,84.4,131.8,13.8,-9.4,2656.625,0.0,0.0
30,31.0,88.6,121.2,9.1,-60.0,4058.5,1.583501086420929,
31,32.0,82.0,200.8,17.6,-1.5,2988.2666666666664,-0.01304764399537585,-1.1479514951766365
32,33.0,85.6,125.0,0.0,-6.4,170.66666666666666,0.0,0.0
33,34.0,94.4,168.8,16.4,-5.36,799.0595238095237,2.5732162142101296,6.714960984931597
34,35.0,76.0,278.6,16.584848484848486,-2.3333333333333335,6817.223109243698,-0.2561547446940958,-1.5724620313016473
35,36.0,83.6,195.0,3.25,-33.833333333333336,2285.4196428571427,-0.7717194801219143,-1.3407693679381207
36,37.0,75.6,169.6,14.52,-39.0,2445.6715506715504,1.6565629677434512,2.4217575849948947
37,38.0,102.4,948.8,18.830000000000002,-49.59090909090909,4126.941402963826,1.1681757526269931,0.0382116355538757
38,39.0,99.6,260.8,9.333333333333332,-30.325,3072.329545454545,0.37582454262683634,0.1523865290870572
39,40.0,82.0,278.4,3.2,-5.535714285714286,1522.5916666666667,0.471364711809275,-0.3734024257769575
40,41.0,56.8,91.0,3.2,-0.3333333333333333,170.83333333333334,0.0,
41,42.0,75.6,102.0,0.0,-42.25,2690.1666666666665,0.0,
42,43.0,72.6,91.8,15.0,0.0,2853.0,,
43,44.0,68.4,229.8,4.3,-5.083333333333332,866.3296703296704,0.3371476559189164,-1.2810609198173508
44,45.0,40.6,44.8,0.0,0.0,0.0,,
45,46.0,51.2,86.6,5.2,-0.06666666666666667,676.1333333333333,-0.9682458365518648,-1.87499999999998
46,47.0,43.4,128.0,0.6,-0.7777777777777777,9.07142857142857,0.2244202931399748,-0.1867071734143426
47,48.0,40.4,121.2,0.4,-0.6666666666666666,5.238095238095236,1.2108313159074875,1.7428264462809837
48,49.0,41.8,58.2,0.8,0.0,16.0,,
49,50.0,49.6,204.2,4.0,-7.25,138.9537037037037,0.2578528323909448,-0.8498126243095963
50,51.0,47.0,56.6,3.0,0.0,225.0,,
51,52.0,59.8,259.0,7.3,-16.4,459.4748168498168,1.019045137057745,0.4953601371678529
52,53.0,68.75,1135.5,5.101190476190475,-3.621111111111111,103.62775528565003,3.551437484917643,20.11237797477257
53,54.0,69.5,110.75,10.25,-3.3333333333333335,1129.3333333333333,,
54,55.0,63.75,92.75,0.0,-20.666666666666668,961.0,0.0,
55,56.0,92.25,133.75,21.875,-23.75,2038.3333333333333,0.864757396667956,
56,57.0,94.25,110.75,13.125,-27.0,1891.5,1.72741621390919,
57,58.0,72.75,96.5,2.125,-47.5,2328.5,,
58,59.0,78.75,209.5,13.125,-1.4615384615384617,1103.597619047619,1.320311322578704,0.5105657353387771
59,60.0,66.75,88.0,0.125,0.0,0.16666666666666666,-0.8660254037844478,
60,61.0,63.25,134.5,9.25,-1.5,842.8015873015873,0.487234436624929,0.9699811293366225
61,62.0,114.0,269.0,9.625,-37.666666666666664,3735.4111111111115,0.7354197887951017,-1.379094888149297
62,63.0,108.0,257.75,3.875,-7.0,820.3888888888888,0.6539524125878747,-0.601760243949399
63,64.0,63.25,111.0,2.125,0.0,72.25,0.0,0.0
64,65.0,81.0,102.75,0.0,-0.5,2.166666666666667,-0.6466713903666954,
65,66.0,64.5,177.5,4.25,0.0,289.0,0.0,0.0
66,67.0,74.75,85.25,0.125,0.0,0.25,,
67,68.0,61.75,155.5,0.125,-6.833333333333333,121.73214285714285,0.13826415911891035,-0.6958579881656806
68,69.0,55.75,83.0,0.0,-0.375,1.1666666666666665,-0.4676097647914159,0.0
69,70.0,76.25,175.5,16.875,-6.65,1878.119047619048,0.5167263332349082,-0.5435490234965656
70,71.0,79.75,278.0,4.300000000000001,-31.125,935.1349206349208,0.06319028059638936,-0.9365155866030056
71,72.0,73.0,177.0,14.25,-5.9,1429.3095238095239,0.32575091585314137,-0.9496956608844386
72,73.0,48.0,126.25,0.125,-4.75,60.333333333333336,0.0,0.0
73,74.0,44.0,134.0,0.5833333333333333,-1.722222222222222,11.5,-0.8660254037844387,-1.6230000000000002
74,75.0,58.666666666666664,197.0,7.166666666666667,-0.0833333333333333,308.26190476190476,-0.3741657386773782,-2.8000000000000123
75,76.0,66.33333333333333,96.33333333333333,0.0,-44.0,1448.5,,
76,77.0,98.33333333333333,207.0,24.166666666666668,-13.0,3398.0416666666665,-0.8652391330851065,1.0688588264168466
77,78.0,61.666666666666664,145.66666666666666,1.3333333333333333,-10.333333333333334,145.94444444444443,-0.6466713903666953,0.0
78,79.0,101.66666666666667,147.66666666666666,31.833333333333332,-40.333333333333336,2416.277777777778,1.7285470983690514,
79,80.0,123.0,234.33333333333334,30.96666666666667,-29.0,6380.392857142857,1.1777319562038864,0.3323872198465691
80,81.0,66.66666666666667,125.33333333333333,5.333333333333333,0.0,256.0,0.0,0.0
81,82.0,87.66666666666667,94.66666666666667,0.0,0.0,0.0,,
82,83.0,76.33333333333333,224.0,0.0,-14.5,210.25,0.0,0.0
83,84.0,92.66666666666667,218.66666666666666,0.0,0.0,0.0,0.0,0.0
84,85.0,76.0,203.0,9.333333333333334,0.0,784.0,0.0,0.0
85,86.0,81.66666666666667,151.33333333333334,1.5,-25.0,275.1666666666667,-0.2981745522010536,
86,87.0,101.5,204.5,4.5,0.0,81.0,0.0,
87,88.0,86.5,138.5,0.0,-48.0,1152.0,,
88,89.0,126.5,200.0,0.0,0.0,0.0,0.0,0.0
89,90.0,112.5,188.0,18.5,0.0,1369.0,,
90,91.0,137.5,232.0,0.0,0.0,0.0,0.0,0.0
91,92.0,102.0,149.0,22.25,0.0,3960.5,,
92,93.0,127.0,161.0,0.0,-165.0,13612.5,,
93,94.0,75.0,246.0,6.25,-19.0,186.5,0.44601295943732266,0.0
