id,cid,counter,tData,tData_2,tData_3,tData_4,pData,pData_2,pData_3,pData_4,created_at,updated_at
528,10,1693937184265,27,27,28,25,37,22,0,0,2023-09-05 20:06:25,2023-09-05 20:06:25
529,10,1693937184600,27,27,28,25,37,22,0,0,2023-09-05 20:06:25,2023-09-05 20:06:25
530,10,1693937184918,27,27,28,25,37,22,0,0,2023-09-05 20:06:25,2023-09-05 20:06:25
531,10,1693937185278,27,27,28,25,37,21,0,6,2023-09-05 20:06:26,2023-09-05 20:06:26
532,10,1693937185634,27,27,28,26,37,21,0,117,2023-09-05 20:06:26,2023-09-05 20:06:26
533,10,1693937185988,27,27,28,27,37,21,0,266,2023-09-05 20:06:27,2023-09-05 20:06:27
534,10,1693937186417,27,27,28,27,37,21,0,63,2023-09-05 20:06:27,2023-09-05 20:06:27
535,10,1693937186717,27,27,28,27,37,22,0,0,2023-09-05 20:06:27,2023-09-05 20:06:27
536,10,1693937187065,27,27,28,27,37,22,0,0,2023-09-05 20:06:28,2023-09-05 20:06:28
537,10,1693937187426,27,27,28,27,37,22,0,0,2023-09-05 20:06:28,2023-09-05 20:06:28
538,10,1693937187739,27,27,28,27,37,21,0,121,2023-09-05 20:06:28,2023-09-05 20:06:28
539,10,1693937188110,27,27,28,27,37,20,0,357,2023-09-05 20:06:29,2023-09-05 20:06:29
540,10,1693937188460,27,27,28,28,37,21,0,239,2023-09-05 20:06:29,2023-09-05 20:06:29
541,10,1693937188824,27,27,28,27,37,22,0,4,2023-09-05 20:06:29,2023-09-05 20:06:29
542,10,1693937189182,27,27,28,27,37,21,0,0,2023-09-05 20:06:30,2023-09-05 20:06:30
543,10,1693937189494,27,27,28,27,37,21,0,0,2023-09-05 20:06:30,2023-09-05 20:06:30
544,10,1693937189856,27,27,28,27,37,21,0,0,2023-09-05 20:06:30,2023-09-05 20:06:30
545,10,1693937190275,27,27,28,27,37,21,0,0,2023-09-05 20:06:31,2023-09-05 20:06:31
546,10,1693937190568,27,27,28,27,37,21,0,0,2023-09-05 20:06:31,2023-09-05 20:06:31
547,10,1693937190940,27,27,28,27,37,21,0,0,2023-09-05 20:06:31,2023-09-05 20:06:31
548,10,1693937191313,27,27,28,27,37,22,0,0,2023-09-05 20:06:32,2023-09-05 20:06:32
549,10,1693937191654,27,27,28,26,37,22,0,0,2023-09-05 20:06:32,2023-09-05 20:06:32
550,10,1693937191978,27,27,28,26,37,22,0,0,2023-09-05 20:06:33,2023-09-05 20:06:33
551,10,1693937192359,27,27,28,26,37,21,0,0,2023-09-05 20:06:33,2023-09-05 20:06:33
552,11,1693937195530,27,27,28,26,37,21,0,0,2023-09-05 20:06:36,2023-09-05 20:06:36
553,11,1693937195891,27,27,28,26,37,21,0,0,2023-09-05 20:06:36,2023-09-05 20:06:36
554,11,1693937196255,27,27,28,26,37,21,0,0,2023-09-05 20:06:37,2023-09-05 20:06:37
555,11,1693937196555,27,27,28,26,37,21,1,0,2023-09-05 20:06:37,2023-09-05 20:06:37
556,11,1693937196931,27,27,28,26,37,21,0,0,2023-09-05 20:06:37,2023-09-05 20:06:37
557,11,1693937197289,27,27,28,26,37,21,0,0,2023-09-05 20:06:38,2023-09-05 20:06:38
558,11,1693937197702,27,27,28,26,37,21,0,0,2023-09-05 20:06:38,2023-09-05 20:06:38
559,11,1693937198017,27,27,28,26,37,21,0,0,2023-09-05 20:06:39,2023-09-05 20:06:39
560,11,1693937198393,27,27,28,26,37,22,0,0,2023-09-05 20:06:39,2023-09-05 20:06:39
561,11,1693937198685,27,27,28,26,37,22,0,0,2023-09-05 20:06:39,2023-09-05 20:06:39
562,11,1693937199050,27,27,28,26,37,21,0,0,2023-09-05 20:06:40,2023-09-05 20:06:40
563,11,1693937199392,27,27,28,26,37,21,0,0,2023-09-05 20:06:40,2023-09-05 20:06:40
564,11,1693937199779,27,27,28,26,37,22,0,0,2023-09-05 20:06:40,2023-09-05 20:06:40
565,11,1693937200119,27,27,28,26,37,21,0,0,2023-09-05 20:06:41,2023-09-05 20:06:41
566,11,1693937200469,27,27,28,26,37,21,0,0,2023-09-05 20:06:41,2023-09-05 20:06:41
567,11,1693937200835,27,27,28,26,37,22,0,0,2023-09-05 20:06:41,2023-09-05 20:06:41
568,0,1693939685000,28,29,30,28,30,16,0,0,2023-09-05 20:48:06,2023-09-05 20:48:06
569,0,1693939685373,28,29,30,28,30,16,0,0,2023-09-05 20:48:06,2023-09-05 20:48:06
597,13,1693939696665,30,30,31,30,30,16,0,0,2023-09-05 20:48:17,2023-09-05 20:48:17
598,13,1693939697031,30,30,31,30,30,16,0,0,2023-09-05 20:48:18,2023-09-05 20:48:18
599,13,1693939697381,30,30,31,30,30,16,0,0,2023-09-05 20:48:18,2023-09-05 20:48:18
600,13,1693939697758,30,30,31,30,30,16,0,0,2023-09-05 20:48:18,2023-09-05 20:48:18
601,13,1693939698122,30,30,31,30,30,16,0,0,2023-09-05 20:48:19,2023-09-05 20:48:19
602,13,1693939698459,30,30,31,30,30,16,0,20,2023-09-05 20:48:19,2023-09-05 20:48:19
603,13,1693939698782,30,30,31,31,30,87,0,87,2023-09-05 20:48:19,2023-09-05 20:48:19
604,13,1693939699142,30,30,31,31,98,63,0,0,2023-09-05 20:48:20,2023-09-05 20:48:20
605,13,1693939699491,30,30,31,31,43,16,104,0,2023-09-05 20:48:20,2023-09-05 20:48:20
606,13,1693939699862,30,30,32,31,30,68,0,72,2023-09-05 20:48:20,2023-09-05 20:48:20
607,13,1693939700214,31,31,32,31,78,135,0,0,2023-09-05 20:48:21,2023-09-05 20:48:21
608,13,1693939700571,31,31,32,31,56,16,109,0,2023-09-05 20:48:21,2023-09-05 20:48:21
609,13,1693939700903,31,31,32,31,30,63,3,92,2023-09-05 20:48:21,2023-09-05 20:48:21
