peak_pressure,auc,rise_gradient,descent_gradient,variance,skewness,kurtosis,cid
9,17.0,0.0967741935483871,-0.025,0.3186830819499956,15.094939870880463,227.64402433650343,38
22,67.0,0.03819444444444445,-0.3384615384615385,1.6411977974446081,13.809168176483608,201.17654280934596,40
15,68.0,0.09740259740259741,-0.021216407355021217,0.8532354597659337,15.228219769263589,239.59192484795912,41
426,7028.0,5.195121951219512,-0.7006578947368421,1883.8113760775177,5.569631375010957,35.475863781187,43
183,2504.0,0.5198863636363636,-0.3267857142857143,277.6058252147346,7.073878187610928,53.35690487966983,47
210,3044.0,0.5097087378640777,-0.49411764705882355,411.6281925161746,6.717917957594261,48.61045143998937,48
162,2170.0,0.4778761061946903,-0.1087248322147651,93.72708070043349,10.422425813866209,124.47265519555472,49
0,0.0,,0.0,0.0,0.0,0.0,60
0,0.0,,0.0,0.0,0.0,0.0,62
0,0.0,,0.0,0.0,0.0,0.0,64
0,0.0,,0.0,0.0,0.0,0.0,65
0,0.0,,0.0,0.0,0.0,0.0,67
0,0.0,,0.0,0.0,0.0,0.0,68
0,0.0,,0.0,0.0,0.0,0.0,69
0,0.0,,0.0,0.0,0.0,0.0,75
0,0.0,,0.0,0.0,0.0,0.0,80
0,0.0,,0.0,0.0,0.0,0.0,81
0,0.0,,0.0,0.0,0.0,0.0,82
212,1505.0,1.4825174825174825,-0.15056818181818182,133.37174511622032,13.77175845506553,207.7918109251577,83
203,1957.0,6.151515151515151,-0.1840435176790571,273.8227281454781,9.909252984655991,99.15818736228827,84
203,2595.0,0.6858108108108109,-0.6363636363636364,417.94982314433526,5.80251550159003,36.404163274759256,85
0,0.0,,0.0,0.0,0.0,0.0,96
0,0.0,,0.0,0.0,0.0,0.0,98
0,0.0,,0.0,0.0,0.0,0.0,99
161,1075.0,11.5,-0.21964529331514324,201.10581899791683,10.249556829568489,105.22935607251944,100
100,1957.0,0.141643059490085,-0.16025641025641027,70.62675019630217,7.012782125742846,53.54998775401888,101
0,0.0,,0.0,0.0,0.0,0.0,104
95,1695.0,0.23514851485148514,-0.23284313725490197,92.32160580226491,5.541160309275672,34.42615473208574,105
91,646.0,0.2297979797979798,-6.5,83.70886000830812,7.0069563241341175,52.381003926865176,106
106,1462.0,0.15797317436661698,-1.8928571428571428,86.16224284656197,6.3425395900074015,50.223018814696076,107
0,0.0,,0.0,0.0,0.0,0.0,108
0,0.0,,0.0,0.0,0.0,0.0,110
9893,605573.0,164.88333333333333,-12.781653746770026,6542913.612768707,3.2854562997694368,8.849049347777004,113
5255,16514.0,2.097804391217565,-3.9630467571644044,10995.421282755937,38.8483538427209,1765.536800466622,114
298,353.0,7.095238095238095,-0.26465364120781526,76.99349783798353,33.538033849565544,1137.3667220138323,116
208,1902.5,1.2848101265822784,-2.1473684210526316,182.95448320936165,13.041293771386012,192.4173366557214,125
268,2363.5,6.947368421052632,-0.728021978021978,444.7924027505156,11.203564171646157,129.76575244626613,126
36,2355.5,0.09850746268656717,-0.050445103857566766,4.83933313053803,9.769831041481291,112.21005028755668,131
21,3015.5,0.18571428571428572,-0.04142011834319527,2.3171772376432234,5.512217562204909,38.44441546116476,133
26,8517.0,0.03825136612021858,-0.026515151515151516,0.34611697027804417,11.378575498250381,130.61002587861,152
27,2969.0,0.12244897959183673,-0.06593406593406594,0.37882472137791284,6.372017770222641,55.9838476331381,155
35,4685.0,0.21875,-0.09032258064516129,2.001743462017435,6.184141780381767,46.25026241092089,165
28,5521.5,0.10344827586206896,-0.035175879396984924,1.1845835972611833,4.69363427815416,25.21074974189325,170
27,3946.0,0.0967741935483871,-0.047619047619047616,0.6807384892491275,6.049956988568246,43.579923684317805,176
77,8381.5,0.358974358974359,-0.23553719008264462,21.14993513935593,10.088082859217215,111.52688886934608,179
170,15360.5,0.7339901477832512,-0.2982107355864811,105.6156765008755,11.260819081185387,138.075399316247,180
27,4378.0,0.16666666666666666,-0.04419889502762431,0.79401936586292,7.6118883359577225,57.39576966307829,187
26,8264.0,0.11290322580645161,-0.018867924528301886,0.5215834229095051,8.407272320536771,69.33169074295638,191
30,8561.5,0.08974358974358974,-0.026402640264026403,1.0529743991425156,5.227905917763555,33.51348503740801,192
34,6824.5,0.039525691699604744,-0.2972972972972973,1.5394478018722593,5.056509592389762,30.532560616903886,196
74,23838.5,0.07882534775888717,-0.17218543046357615,69.8841206810493,3.304936326835398,11.360593741954933,198
35,13099.5,0.02832244008714597,-0.10071942446043165,1.7584882273130804,4.885327629658265,30.071391574349317,200
34,11693.5,0.037142857142857144,-0.0639269406392694,1.1793050288286622,6.301411313357889,56.58117569463146,204
25,4705.0,0.09375,-0.03278688524590164,0.28914718558182084,11.067422382644105,121.46738052746369,209
44,2697.5,0.40425531914893614,-0.26804123711340205,4.993486590038315,10.293555991074195,115.37747263535684,219
9893,240850.5,3.995544754961523,-95.7864077669903,644563.4703289152,12.06357995878132,144.20225699879256,227
39,14177.0,0.6666666666666666,-0.025974025974025976,1.716348357524828,7.803862331045544,70.0212420569591,234
155,8781.0,0.4548611111111111,-2.1475409836065573,118.09271387638155,5.132733435089177,59.754905607752505,240
56,14396.5,0.2302158273381295,-0.06485355648535565,16.988111910119436,4.640955526227052,32.58527906615895,241
0,0.0,,0.0,0.0,0.0,0.0,246
54,108.0,0.1005586592178771,-0.16071428571428573,6.665125386303051,20.868554388584545,434.4908177973229,256
261,56366.0,0.42857142857142855,-0.24347014925373134,2541.9549585809364,1.4360002069337576,1.6123729641862505,295
124,2900.0,0.32978723404255317,-0.07745159275452843,119.21610042280972,7.739941090740041,61.272471918471375,296
90,566.0,0.37656903765690375,-0.8256880733944955,115.78757039818198,6.703580345587634,44.56415111901669,325
322,21917.0,12.88,-0.7076923076923077,4395.187889812889,1.1421481790774697,0.21736307099840335,350
102,418.0,0.0821256038647343,-51.0,28.49007993388344,16.143597565486466,263.87053585034954,352
134,621.0,0.2740286298568507,-0.48028673835125446,78.17384929020373,11.850484679279832,148.87794952165373,381
