24,"{'tData_std': np.float64(0.0), 'tData_range': np.int64(0), 'tData_rate_std': np.float64(0.0), 'tData_2_std': np.float64(0.0), 'tData_2_range': np.int64(0), 'tData_2_rate_std': np.float64(0.0), 'tData_3_std': np.float64(0.0), 'tData_3_range': np.int64(0), 'tData_3_rate_std': np.float64(0.0), 'tData_4_std': np.float64(0.0), 'tData_4_range': np.int64(0), 'tData_4_rate_std': np.float64(0.0), 'pData_std': np.float64(10.731826566306191), 'pData_range': np.int64(43), 'pData_rate_std': np.float64(14.690751574313065), 'pData_2_std': np.float64(27.6420900969434), 'pData_2_range': np.int64(113), 'pData_2_rate_std': np.float64(32.539486502066715), 'pData_3_std': np.float64(8.777338244973054), 'pData_3_range': np.int64(43), 'pData_3_rate_std': np.float64(12.964987816843836), 'pData_4_std': np.float64(0.0), 'pData_4_range': np.int64(0), 'pData_4_rate_std': np.float64(0.0)}"
25,"{'tData_std': np.float64(0.0), 'tData_range': np.int64(0), 'tData_rate_std': np.float64(0.0), 'tData_2_std': np.float64(0.0), 'tData_2_range': np.int64(0), 'tData_2_rate_std': np.float64(0.0), 'tData_3_std': np.float64(0.0), 'tData_3_range': np.int64(0), 'tData_3_rate_std': np.float64(0.0), 'tData_4_std': np.float64(0.46966821831386213), 'tData_4_range': np.int64(1), 'tData_4_rate_std': np.float64(0.25), 'pData_std': np.float64(65.83228467767432), 'pData_range': np.int64(247), 'pData_rate_std': np.float64(77.19930915062216), 'pData_2_std': np.float64(0.0), 'pData_2_range': np.int64(0), 'pData_2_rate_std': np.float64(0.0), 'pData_3_std': np.float64(0.0), 'pData_3_range': np.int64(0), 'pData_3_rate_std': np.float64(0.0), 'pData_4_std': np.float64(92.49022205871596), 'pData_4_range': np.int64(332), 'pData_4_rate_std': np.float64(86.74867914460332)}"
26,"{'tData_std': np.float64(0.20618457094236217), 'tData_range': np.int64(1), 'tData_rate_std': np.float64(0.21320071635561044), 'tData_2_std': np.float64(0.14744195615489714), 'tData_2_range': np.int64(1), 'tData_2_rate_std': np.float64(0.21320071635561044), 'tData_3_std': np.float64(0.40108548367821956), 'tData_3_range': np.int64(1), 'tData_3_rate_std': np.float64(0.21320071635561044), 'tData_4_std': np.float64(0.0), 'tData_4_range': np.int64(0), 'tData_4_rate_std': np.float64(0.0), 'pData_std': np.float64(13.471261233717247), 'pData_range': np.int64(60), 'pData_rate_std': np.float64(16.12310594936799), 'pData_2_std': np.float64(17.174242031949493), 'pData_2_range': np.int64(89), 'pData_2_rate_std': np.float64(25.406692031825003), 'pData_3_std': np.float64(7.463955253035999), 'pData_3_range': np.int64(44), 'pData_3_rate_std': np.float64(11.051532185012341), 'pData_4_std': np.float64(8.067978094380338), 'pData_4_range': np.int64(36), 'pData_4_rate_std': np.float64(11.577800073651925)}"
27,"{'tData_std': np.float64(0.5107539184552492), 'tData_range': np.int64(1), 'tData_rate_std': np.float64(0.20851441405707477), 'tData_2_std': np.float64(1.1970676733137329), 'tData_2_range': np.int64(3), 'tData_2_rate_std': np.float64(0.7674195764535269), 'tData_3_std': np.float64(0.6468989572333266), 'tData_3_range': np.int64(2), 'tData_3_rate_std': np.float64(0.3665888047644883), 'tData_4_std': np.float64(0.8998792189486611), 'tData_4_range': np.int64(3), 'tData_4_rate_std': np.float64(0.4746540241984124), 'pData_std': np.float64(28.962744685373742), 'pData_range': np.int64(97), 'pData_rate_std': np.float64(40.559720278755734), 'pData_2_std': np.float64(33.40720980068025), 'pData_2_range': np.int64(119), 'pData_2_rate_std': np.float64(48.259222633295295), 'pData_3_std': np.float64(17.276470972839398), 'pData_3_range': np.int64(67), 'pData_3_rate_std': np.float64(25.709920264364882), 'pData_4_std': np.float64(19.61347510761674), 'pData_4_range': np.int64(79), 'pData_4_rate_std': np.float64(29.072010907087563)}"
28,"{'tData_std': np.float64(0.8171628369185765), 'tData_range': np.int64(2), 'tData_rate_std': np.float64(0.4782692720619206), 'tData_2_std': np.float64(0.8040712731125879), 'tData_2_range': np.int64(2), 'tData_2_rate_std': np.float64(0.3511400286607768), 'tData_3_std': np.float64(0.4785181206984065), 'tData_3_range': np.int64(1), 'tData_3_rate_std': np.float64(0.14285714285714285), 'tData_4_std': np.float64(0.7230886134196437), 'tData_4_range': np.int64(2), 'tData_4_rate_std': np.float64(0.4325214791567845), 'pData_std': np.float64(22.24102662437421), 'pData_range': np.int64(73), 'pData_rate_std': np.float64(35.08620336637561), 'pData_2_std': np.float64(22.06484876495663), 'pData_2_range': np.int64(66), 'pData_2_rate_std': np.float64(33.25031328173215), 'pData_3_std': np.float64(12.277821384886803), 'pData_3_range': np.int64(46), 'pData_3_rate_std': np.float64(19.21371038260613), 'pData_4_std': np.float64(18.10920388382997), 'pData_4_range': np.int64(68), 'pData_4_rate_std': np.float64(28.699593493056074)}"
29,"{'tData_std': np.float64(0.49420399497827033), 'tData_range': np.int64(1), 'tData_rate_std': np.float64(0.3611575592573076), 'tData_2_std': np.float64(0.4593396431851037), 'tData_2_range': np.int64(2), 'tData_2_rate_std': np.float64(0.29488391230979427), 'tData_3_std': np.float64(0.0), 'tData_3_range': np.int64(0), 'tData_3_rate_std': np.float64(0.0), 'tData_4_std': np.float64(0.6399800528806397), 'tData_4_range': np.int64(2), 'tData_4_rate_std': np.float64(0.32898802027400825), 'pData_std': np.float64(15.985310189169669), 'pData_range': np.int64(56), 'pData_rate_std': np.float64(24.78867202714912), 'pData_2_std': np.float64(18.10646215115492), 'pData_2_range': np.int64(60), 'pData_2_rate_std': np.float64(27.732016783072492), 'pData_3_std': np.float64(9.246597035536299), 'pData_3_range': np.int64(40), 'pData_3_rate_std': np.float64(14.263056566132509), 'pData_4_std': np.float64(11.971523540741373), 'pData_4_range': np.int64(54), 'pData_4_rate_std': np.float64(18.279235071047385)}"
30,"{'tData_std': np.float64(0.0), 'tData_range': np.int64(0), 'tData_rate_std': np.float64(0.0), 'tData_2_std': np.float64(0.0), 'tData_2_range': np.int64(0), 'tData_2_rate_std': np.float64(0.0), 'tData_3_std': np.float64(0.0), 'tData_3_range': np.int64(0), 'tData_3_rate_std': np.float64(0.0), 'tData_4_std': np.float64(0.0), 'tData_4_range': np.int64(0), 'tData_4_rate_std': np.float64(0.0), 'pData_std': np.float64(0.21320071635561047), 'pData_range': np.int64(1), 'pData_rate_std': np.float64(0.31622776601683794), 'pData_2_std': np.float64(0.0), 'pData_2_range': np.int64(0), 'pData_2_rate_std': np.float64(0.0), 'pData_3_std': np.float64(0.0), 'pData_3_range': np.int64(0), 'pData_3_rate_std': np.float64(0.0), 'pData_4_std': np.float64(0.0), 'pData_4_range': np.int64(0), 'pData_4_rate_std': np.float64(0.0)}"
31,"{'tData_std': np.float64(0.5029641865709455), 'tData_range': np.int64(1), 'tData_rate_std': np.float64(0.3310423554409472), 'tData_2_std': np.float64(0.0), 'tData_2_range': np.int64(0), 'tData_2_rate_std': np.float64(0.0), 'tData_3_std': np.float64(0.0), 'tData_3_range': np.int64(0), 'tData_3_rate_std': np.float64(0.0), 'tData_4_std': np.float64(0.4745789978762495), 'tData_4_range': np.int64(1), 'tData_4_rate_std': np.float64(0.2340822943922611), 'pData_std': np.float64(0.46961744062645344), 'pData_range': np.int64(1), 'pData_rate_std': np.float64(0.5234239225902136), 'pData_2_std': np.float64(0.4902656018530775), 'pData_2_range': np.int64(1), 'pData_2_rate_std': np.float64(0.5234239225902136), 'pData_3_std': np.float64(0.5773502691896258), 'pData_3_range': np.int64(5), 'pData_3_rate_std': np.float64(0.827605888602368), 'pData_4_std': np.float64(0.0), 'pData_4_range': np.int64(0), 'pData_4_rate_std': np.float64(0.0)}"
32,"{'tData_std': np.float64(0.0), 'tData_range': np.int64(0), 'tData_rate_std': np.float64(0.0), 'tData_2_std': np.float64(0.0), 'tData_2_range': np.int64(0), 'tData_2_rate_std': np.float64(0.0), 'tData_3_std': np.float64(0.0), 'tData_3_range': np.int64(0), 'tData_3_rate_std': np.float64(0.0), 'tData_4_std': np.float64(0.6623708763718502), 'tData_4_range': np.int64(2), 'tData_4_rate_std': np.float64(0.37509017674772643), 'pData_std': np.float64(0.4704719688969648), 'pData_range': np.int64(1), 'pData_rate_std': np.float64(0.4364357804719847), 'pData_2_std': np.float64(0.4489777585448796), 'pData_2_range': np.int64(1), 'pData_2_rate_std': np.float64(0.5754727023663514), 'pData_3_std': np.float64(0.8340576562282992), 'pData_3_range': np.int64(4), 'pData_3_rate_std': np.float64(1.2344267996967353), 'pData_4_std': np.float64(71.71953499294834), 'pData_4_range': np.int64(240), 'pData_4_rate_std': np.float64(57.799324431708584)}"
33,"{'tData_std': np.float64(0.6295375694990795), 'tData_range': np.int64(3), 'tData_rate_std': np.float64(0.2530123737624794), 'tData_2_std': np.float64(0.8031501822249899), 'tData_2_range': np.int64(4), 'tData_2_rate_std': np.float64(0.25301237376247937), 'tData_3_std': np.float64(0.4245007194718729), 'tData_3_range': np.int64(1), 'tData_3_rate_std': np.float64(0.15686425431515835), 'tData_4_std': np.float64(0.6741095761875775), 'tData_4_range': np.int64(2), 'tData_4_rate_std': np.float64(0.2626128657194451), 'pData_std': np.float64(17.027230842044002), 'pData_range': np.int64(116), 'pData_rate_std': np.float64(17.35488744494187), 'pData_2_std': np.float64(22.549840647934744), 'pData_2_range': np.int64(136), 'pData_2_rate_std': np.float64(17.783866656659807), 'pData_3_std': np.float64(18.68084793010886), 'pData_3_range': np.int64(120), 'pData_3_rate_std': np.float64(14.353043308537348), 'pData_4_std': np.float64(24.721886824987084), 'pData_4_range': np.int64(128), 'pData_4_rate_std': np.float64(19.14271009428118)}"
